product_category,product_name,product_price,product_price_unit,product_url,image_url
Thực phẩm tươi sống,"Cà chua cocktail Đà Lạt We Are Fresh, 500g","35,600 ₫",/ Cái,https://online.mmvietnam.com/ca-chua-cocktail-da-lat-we-are-fresh-500g-1124291-10-398902.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/398902.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Sò điệp Nhật Bản nửa mảnh, 500g","113,500 ₫",/ Gói,https://online.mmvietnam.com/so-diep-nhat-ban-nua-23986152-398615.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/398615.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cá hồi xông khói vị tiêu, 200g","265,000 ₫",/ Gói,https://online.mmvietnam.com/ca-hoi-xong-khoi-vi-tieu-200g-1072854-10-396311.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/396311.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Lẩu Bulgogi ba chỉ bò Mỹ, 1100g","229,000 ₫",/ Cái,https://online.mmvietnam.com/lau-bulgogi-ba-chi-bo-my-1100g-510283-10-394851.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/394851.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Rau tía tô Đà Lạt, gói 100g","12,000 ₫",/ Gói,https://online.mmvietnam.com/rau-tia-to-da-lat-goi-100g-712798-10-394061.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/394061.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Sơ ri ngọt, hộp 500g","18,000 ₫",/ Hộp,https://online.mmvietnam.com/so-ri-ngot-hop-500g-712727-10-390495.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/9/390495.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Nấm tiểu yến, 150g","28,500 ₫",/ Gói,https://online.mmvietnam.com/nam-tieu-yen-150g-23868205-386820.html,https://mmpro.vn/media/catalog/product/placeholder/default/logommvn-320.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,Hạt giống rau tía tô 606,"6,000 ₫",/ Gói,https://online.mmvietnam.com/hat-giong-rau-tia-to-22009111-200911.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/2/0/200911.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Cá chim trắng sống, 0.7-1 kg/con","249,000 ₫",/ Ký,https://online.mmvietnam.com/ca-chim-trang-song-0-7-1kg-con-414044-10-136550.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/1/3/136550.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
Thực phẩm tươi sống,"Bò viên gân, 500g","136,000 ₫",/ Gói,https://online.mmvietnam.com/bo-vien-gan-500g-2-12-350027.html,https://mmpro.vn/media/catalog/product/cache/40feddc31972b1017c1d2c6031703b61/3/5/350027.webp?auto=webp&format=pjpg&width=300&height=300&fit=cover
